"","List","Rank","Player_Name","Position","Team","Bye_Week","Best_Rank","Worst_Rank","Ave_Rank","Std_Dev","ADP","Tier","Consistency"
"261",163,163,"Travis Kelce","TE","KC",6,120,199,157.1176471,19.91269874,211,19,NA
"262",164,164,"James White","RB","NE",10,108,187,150.4137931,21.63891329,212,19,NA
"263",165,165,"Donald Brown","RB","SD",10,81,200,161.8888889,22.71291578,206,19,0.396611957023268
"264",166,166,"Jake Locker","QB","TEN",9,129,194,159.9705882,16.58221105,238,19,0.386616749512363
"265",167,167,"Eric Ebron","TE","DET",9,128,233,166.1621622,20.1970208,150,19,NA
"266",168,168,"Rod Streater","WR","OAK",5,105,197,157.5666667,24.02870968,234,19,0.438173493724213
"267",169,169,"Mike Williams","WR","BUF",9,117,199,164.1764706,22.35998341,NA,19,0.454135197386043
"268",170,170,"St. Louis Rams","DST","STL",4,129,211,167.8108108,21.29818903,102,20,NA
"269",171,171,"Garrett Graham","TE","HOU",10,144,230,163.78125,17.75481339,236,19,0.570677709644023
"270",172,172,"Carolina Panthers","DST","CAR",12,135,207,166.7142857,16.66059753,86,19,NA
"271",173,173,"Harry Douglas","WR","ATL",9,111,202,163.5,24.57768297,197,19,0.49219729557686
"272",174,174,"James Starks","RB","GB",9,107,254,163.8,27.92657038,200,19,0.432510379803272
"273",175,175,"Malcom Floyd","WR","SD",10,94,208,160.7142857,26.23092115,247,19,0.323331747353396
"274",176,176,"Robert Woods","WR","BUF",9,94,199,162.2758621,22.16380484,NA,19,0.413952627683198
"275",177,177,"Jared Cook","TE","STL",4,128,197,168.71875,17.0206389,228,20,0.468597117545947
"276",178,178,"Ronnie Hillman","RB","DEN",4,100,235,166.6206897,24.89344713,213,19,0.498156342182891
"277",179,179,"Kenbrell Thompkins","WR","NE",10,107,257,163.8461538,33.83067828,191,19,0.5280925401322
"278",180,180,"Jerricho Cotchery","WR","CAR",12,112,200,168.5806452,22.41510751,217,20,0.572790790905446
"279",181,181,"Cincinnati Bengals","DST","CIN",4,139,209,174.9722222,14.52103094,107,20,NA
"280",182,182,"Johnny Manziel","QB","CLE",4,111,215,158.9090909,27.48042128,165,19,NA
"281",183,183,"Cody Latimer","WR","DEN",4,112,212,162.7083333,26.47558493,NA,19,NA
"282",184,184,"Benny Cunningham","RB","STL",4,106,213,162.3913043,29.18865046,NA,19,0.750162513542795
"283",185,185,"Roy Helu","RB","WAS",10,123,214,174.1612903,17.09007781,229,20,0.539650517246609
"284",186,186,"Geno Smith","QB","NYJ",11,134,204,166.0833333,20.17406889,243,19,0.465395293495505
"285",187,187,"New England Patriots","DST","NE",10,127,212,176.21875,20.4017989,108,20,NA
"286",188,188,"Odell Beckham Jr.","WR","NYG",8,100,209,166.7391304,26.13047095,237,20,NA
"287",189,189,"Jonathan Grimes","RB","HOU",10,124,281,171.0869565,31.54418991,239,20,0.618811881188119
"288",190,190,"Denver Broncos","DST","DEN",4,137,210,176.5483871,16.79446666,101,20,NA
"289",191,191,"Tre Mason","RB","STL",4,118,228,173.125,20.48030049,221,20,NA
"290",192,192,"Andre Holmes","WR","OAK",5,122,197,163.2222222,24.84967148,NA,19,0.571619812583668
"291",193,193,"Steve Johnson","WR","SF",8,119,223,172.2272727,23.6737903,208,20,0.326350649350649
"292",194,194,"Miles Austin","WR","CLE",4,134,200,167.35,19.05852827,199,20,0.475714301041812
"293",195,195,"Mike Tolbert","RB","CAR",12,148,200,177.56,14.87838701,NA,20,0.445574643359453
"294",196,196,"Dexter McCluster","WR","TEN",9,131,199,175.6521739,19.32920452,202,20,0.481869786839665
"295",197,197,"John Brown","WR","ARI",4,117,206,168.1764706,29.17943533,NA,20,NA
"296",198,198,"Brian Quick","WR","STL",4,85,193,161.7857143,28.64107583,NA,19,0.634108686702347
"297",199,199,"Mohamed Sanu","WR","CIN",4,138,217,172.6666667,21.55097317,253,20,0.450585363835684
"298",200,200,"Coby Fleener","TE","IND",10,155,226,176.7,16.82884429,205,20,0.490573651056962
"299",201,201,"Tim Wright","TE","TB",7,130,251,175.1875,28.02280043,209,20,0.41474921370634
"300",202,202,"C.J. Anderson","RB","DEN",4,143,209,179.5238095,16.56622797,226,20,0.0765027322404371
"301",203,203,"E.J. Manuel","QB","BUF",9,132,210,176.8888889,16.26819968,NA,20,0.277013291634089
"302",204,204,"Jacquizz Rodgers","RB","ATL",9,79,222,178.3333333,30.01110905,NA,20,0.436424957841483
"303",205,205,"Ryan Fitzpatrick","QB","HOU",10,139,199,177.9411765,15.12485523,NA,20,0.266672409809811
"304",206,206,"Jonathan Dwyer","RB","ARI",4,148,197,175,13.72103009,NA,20,0.527189324437031
"305",207,207,"Bryce Brown","RB","BUF",9,142,223,178.1875,19.80914798,NA,20,0.665503771220795
"306",208,208,"Arizona Cardinals","DST","ARI",4,144,208,183.7727273,16.10457817,105,20,NA
"307",209,209,"Marcedes Lewis","TE","JAC",11,154,239,181.0666667,22.0740169,252,20,0.47401185770751
"308",210,210,"Jermaine Kearse","WR","SEA",4,144,207,175.0833333,19.82615416,NA,20,0.603772565128094
"309",211,211,"Kansas City Chiefs","DST","KC",6,136,214,185.6842105,15.39669353,106,20,NA
"310",212,212,"Brandon LaFell","WR","NE",10,146,200,172.2,21.04661493,203,20,0.438933099541408
"311",213,213,"Shaun Hill","QB","STL",4,147,200,179.7692308,15.05964473,NA,20,0.727707006369427
"312",214,214,"Nate Washington","WR","TEN",9,157,240,185.6,17.54536976,NA,20,0.425458555026603
"313",215,215,"Matt Cassel","QB","MIN",10,156,260,182.2727273,26.73129221,NA,20,0.418362023995827
"314",216,216,"Robert Turbin","RB","SEA",4,146,249,185.25,29.45653578,NA,20,0.384143001297391
"315",217,217,"Bobby Rainey","RB","TB",7,135,245,181.4,27.04514744,NA,20,0.575982905982906
"316",218,218,"Lance Moore","WR","PIT",12,135,264,186.4,34.93765877,NA,20,0.409910487756207
"317",219,219,"Jace Amaro","TE","NYJ",11,156,198,178.6,13.16966211,251,20,NA
"318",220,220,"Cleveland Browns","DST","CLE",4,168,201,183.7692308,11.29434063,171,20,NA
