"","X","List","Rank","Player_Name","Position","Team","Bye_Week","Best_Rank","Worst_Rank","Ave_Rank","Std_Dev","ADP","Tier","Consistency","FPTS","FPTSperG"
"52",52,52,52,"Ray Rice","RB","BAL",11,36,90,55.67567568,13.24009891,54,8,0.338644264,162.2,10.1
"53",53,53,53,"Kendall Wright","WR","TEN",9,36,88,56.7027027,11.6662249,67,8,0.307909152,132.6,8.3
"54",54,54,54,"Pierre Thomas","RB","NO",6,32,120,56.89189189,15.57680844,59,8,0.375699397,130.8,8.2
"55",55,55,55,"Percy Harvin","WR","SEA",4,32,129,59,18.16887746,47,8,0.387052448,143.7,9
"56",56,56,56,"Julian Edelman","WR","NE",10,38,113,59.40540541,17.01106073,50,8,0.552003007,135.9,8.5
"57",57,57,57,"Chris Johnson","RB","NYJ",11,26,101,59.56756757,12.51062368,60,8,0.350540783,158.8,9.9
"58",58,58,58,"Jordan Cameron","TE","CLE",4,30,150,62.94594595,22.41855644,53,9,0.597247225,123,7.7
"59",59,59,59,"Mike Wallace","WR","MIA",5,36,87,64.08108108,11.89907645,77,9,0.387962748,134.5,8.4
"60",60,60,60,"Andrew Luck","QB","IND",10,44,90,65.16216216,10.41961122,56,9,0.22875576,302.4,18.9
"61",61,61,61,"Marques Colston","WR","NO",6,26,90,65.48648649,13.37933385,68,9,0.384498222,137.9,8.6
"62",62,62,62,"DeSean Jackson","WR","WAS",10,53,96,65.72972973,11.73962716,61,9,0.392950784,141,8.8
"63",63,63,63,"Ty Hilton","WR","IND",10,38,94,65.83783784,14.20223339,57,9,0.468011152,135.4,8.5
"64",64,64,64,"Frank Gore","RB","SF",8,49,131,65.89189189,14.59689672,55,9,0.289682239,165.2,10.3
"65",65,65,65,"Eric Decker","WR","NYJ",11,44,96,67.97297297,12.75017008,83,9,0.466385563,125.9,7.9
"66",66,66,66,"Wes Welker","WR","DEN",4,27,229,69.05405405,35.70142396,70,9,0.321173444,117.6,7.3
"67",67,67,67,"Emmanuel Sanders","WR","DEN",4,40,101,75.2972973,15.40071052,46,10,0.399061465,146.6,9.2
"68",68,68,68,"Matt Ryan","QB","ATL",9,61,120,75.62162162,11.39072964,69,10,0.207302836,289.9,18.1
"69",69,69,69,"Danny Woodhead","RB","SD",10,22,125,76.16216216,21.24950049,74,10,0.40507262,122.3,7.6
"70",70,70,70,"Reggie Wayne","WR","IND",10,45,124,76.27027027,18.32241081,80,10,0.323550113,124,7.8
"71",71,41,41,"Larry Fitzgerald","WR","ARI",4,30,70,41.50980392,7.739312806,34,11,0.386453374,162.3,10.1
"72",72,42,42,"Rashad Jennings","RB","NYG",8,15,105,41.66666667,13.03790352,47,11,0.519049128,161.3,10.1
"73",73,43,43,"Reggie Bush","RB","DET",9,19,74,42.74509804,10.93984109,33,11,0.347623258,167.4,10.5
"74",74,44,44,"Frank Gore","RB","SF",8,32,66,46.70588235,8.044713567,48,11,0.289682239,165.2,10.3
