"","X","List","Rank","Player_Name","Position","Team","Bye_Week","Best_Rank","Worst_Rank","Ave_Rank","Std_Dev","ADP","Tier","Consistency","FPTS","FPTSperG"
"225",225,127,127,"Charles Clay","TE","MIA",5,80,199,131.6382979,21.8470754,147,18,0.582251082,93.7,5.9
"226",226,128,128,"Devonta Freeman","RB","ATL",9,96,187,125.744186,21.43035559,139,18,NA,101.8,6.4
"227",227,129,129,"Ryan Tannehill","QB","MIA",5,67,187,132.8297872,20.7726489,157,18,0.260593735,244.7,15.3
"228",228,130,130,"Seattle Seahawks","DST","SEA",4,103,205,131.1555556,16.65860546,58,18,NA,NA,NA
"229",229,131,131,"Ladarius Green","TE","SD",10,92,186,136.787234,20.82034211,154,18,0.511658485,96.1,6
"230",230,132,132,"Jordan Matthews","WR","PHI",7,105,190,137.2826087,23.01763317,174,18,NA,92.2,5.8
"231",231,133,133,"Carson Palmer","QB","ARI",4,85,166,134.627907,17.90676533,155,18,0.259807992,244.1,15.3
"232",232,134,134,"Jonathan Stewart","RB","CAR",12,78,176,137.6,20.854416,186,18,0.311748859,78.8,4.9
"233",233,135,135,"Ahmad Bradshaw","RB","IND",10,98,185,139.0869565,21.00913475,177,18,0.329606722,70.8,4.4
"234",234,136,136,"Jarrett Boykin","WR","GB",9,101,185,133.3809524,19.119863,159,18,0.605534455,104.5,6.5
"235",235,137,137,"LeGarrette Blount","RB","PIT",12,82,183,137.5909091,22.99141953,146,18,0.583534441,88.3,5.5
"236",236,138,138,"Kenny Stills","WR","NO",6,82,180,136.2142857,21.47150461,166,18,0.565964657,98.3,6.1
"237",237,139,139,"Heath Miller","TE","PIT",12,83,201,139.2325581,20.10187682,152,18,0.400689999,96.2,6
"238",238,140,140,"Aaron Dobson","WR","NE",10,81,197,136.6,22.66473031,207,18,0.479965899,65.4,4.1
"239",239,141,141,"Doug Baldwin","WR","SEA",4,96,178,139.15,20.42369947,173,18,0.488039751,99.8,6.2
"240",240,142,142,"Kenny Britt","WR","STL",4,71,200,137.8461538,28.97615152,193,18,0.67739949,85.7,5.4
"241",241,143,143,"Steve Smith","WR","BAL",11,100,188,146.9318182,21.05555177,144,19,0.408223336,94.7,5.9
"242",242,144,144,"Khiry Robinson","RB","NO",6,69,195,138.6315789,25.20382286,135,18,0.575167038,96.7,6
"243",243,145,145,"Tavon Austin","WR","STL",4,101,188,141.6052632,24.00607322,148,18,0.587840899,92.1,5.8
"244",244,146,146,"Danny Amendola","WR","NE",10,93,196,144.025641,28.09369596,143,18,0.454286763,86,5.4
"245",245,147,147,"James Jones","WR","OAK",5,93,183,143,24.9082527,167,18,0.397690799,94.9,5.9
"246",246,148,148,"Christine Michael","RB","SEA",4,93,242,147.5,26.59699231,153,19,0.23628692,87.4,5.5
"247",247,149,149,"Alex Smith","QB","KC",6,106,192,147.8292683,18.76673554,151,19,0.520446191,241.4,15.1
"248",248,150,150,"Antonio Gates","TE","SD",10,104,175,152.452381,12.53794694,137,19,0.416023511,95.9,6
"249",249,151,151,"Delanie Walker","TE","TEN",9,128,199,153.6190476,15.6356619,190,19,0.583390536,90.8,5.7
"250",250,152,152,"Eli Manning","QB","NYG",8,91,186,149.1578947,17.55671459,163,19,0.296729405,225.4,14.1
"251",251,153,153,"Andrew Hawkins","WR","CLE",4,110,189,152.0769231,21.36902217,232,19,0.502360484,87.4,5.5
"252",252,154,154,"Marqise Lee","WR","JAC",11,104,198,153.4102564,26.14821458,201,19,NA,88.6,5.5
"253",253,155,155,"Josh McCown","QB","TB",7,111,206,153.5897436,21.81826799,178,19,0.401778402,209.8,13.1
"254",254,156,156,"Lance Dunbar","RB","DAL",11,109,189,150.3888889,21.55262008,214,19,0.480505796,74.3,4.6
"255",255,157,157,"Marvin Jones","WR","CIN",4,77,255,152.3333333,36.02328091,172,19,0.519591214,85.4,5.3
"256",256,158,158,"San Francisco 49ers","DST","SF",8,112,206,158.7179487,21.5845965,82,19,NA,NA,NA
"257",257,159,159,"Joe Flacco","QB","BAL",11,120,194,157.8947368,15.95188402,149,19,0.265404473,226.9,14.2
"258",258,160,160,"Dwayne Allen","TE","IND",10,101,193,156.0555556,18.26950167,219,19,0.327109012,85.4,5.3
"259",259,161,161,"Knile Davis","RB","KC",6,123,199,161.4615385,20.65323735,183,19,0.702069573,74.3,4.6
"260",260,162,162,"Tyler Eifert","TE","CIN",4,131,219,161.2368421,19.84470526,241,19,0.474446903,71.9,4.5
"261",261,163,163,"Travis Kelce","TE","KC",6,120,199,157.1176471,19.91269874,211,19,NA,79.9,5
"262",262,164,164,"James White","RB","NE",10,108,187,150.4137931,21.63891329,212,19,NA,59.4,3.7
"263",263,165,165,"Donald Brown","RB","SD",10,81,200,161.8888889,22.71291578,206,19,0.396611957,65.5,4.1
"264",264,166,166,"Jake Locker","QB","TEN",9,129,194,159.9705882,16.58221105,238,19,0.38661675,205.3,12.8
"265",265,167,167,"Eric Ebron","TE","DET",9,128,233,166.1621622,20.1970208,150,19,NA,81.8,5.1
"266",266,168,168,"Rod Streater","WR","OAK",5,105,197,157.5666667,24.02870968,234,19,0.438173494,94.1,5.9
"267",267,169,169,"Mike Williams","WR","BUF",9,117,199,164.1764706,22.35998341,NA,19,0.454135197,75.2,4.7
"268",268,170,170,"St. Louis Rams","DST","STL",4,129,211,167.8108108,21.29818903,102,20,NA,NA,NA
"269",269,171,171,"Garrett Graham","TE","HOU",10,144,230,163.78125,17.75481339,236,19,0.57067771,74.6,4.7
"270",270,172,172,"Carolina Panthers","DST","CAR",12,135,207,166.7142857,16.66059753,86,19,NA,NA,NA
"271",271,173,173,"Harry Douglas","WR","ATL",9,111,202,163.5,24.57768297,197,19,0.492197296,95.5,6
"272",272,174,174,"James Starks","RB","GB",9,107,254,163.8,27.92657038,200,19,0.43251038,70.1,4.4
"273",273,175,175,"Malcom Floyd","WR","SD",10,94,208,160.7142857,26.23092115,247,19,0.323331747,83.4,5.2
"274",274,176,176,"Robert Woods","WR","BUF",9,94,199,162.2758621,22.16380484,NA,19,0.413952628,82.5,5.2
"275",275,177,177,"Jared Cook","TE","STL",4,128,197,168.71875,17.0206389,228,20,0.468597118,75.1,4.7
"276",276,178,178,"Ronnie Hillman","RB","DEN",4,100,235,166.6206897,24.89344713,213,19,0.498156342,77.6,4.8
"277",277,179,179,"Kenbrell Thompkins","WR","NE",10,107,257,163.8461538,33.83067828,191,19,0.52809254,77.3,4.8
"278",278,180,180,"Jerricho Cotchery","WR","CAR",12,112,200,168.5806452,22.41510751,217,20,0.572790791,82.7,5.2
"279",279,181,181,"Cincinnati Bengals","DST","CIN",4,139,209,174.9722222,14.52103094,107,20,NA,NA,NA
"280",280,182,182,"Johnny Manziel","QB","CLE",4,111,215,158.9090909,27.48042128,165,19,NA,187.4,11.7
"281",281,183,183,"Cody Latimer","WR","DEN",4,112,212,162.7083333,26.47558493,NA,19,NA,45.6,2.8
"282",282,184,184,"Benny Cunningham","RB","STL",4,106,213,162.3913043,29.18865046,NA,19,0.750162514,68,4.2
"283",283,185,185,"Roy Helu","RB","WAS",10,123,214,174.1612903,17.09007781,229,20,0.539650517,67,4.2
"284",284,186,186,"Geno Smith","QB","NYJ",11,134,204,166.0833333,20.17406889,243,19,0.465395293,193.8,12.1
"285",285,187,187,"New England Patriots","DST","NE",10,127,212,176.21875,20.4017989,108,20,NA,NA,NA
"286",286,188,188,"Odell Beckham Jr.","WR","NYG",8,100,209,166.7391304,26.13047095,237,20,NA,82.2,5.1
"287",287,189,189,"Jonathan Grimes","RB","HOU",10,124,281,171.0869565,31.54418991,239,20,0.618811881,73.6,4.6
"288",288,190,190,"Denver Broncos","DST","DEN",4,137,210,176.5483871,16.79446666,101,20,NA,NA,NA
"289",289,191,191,"Tre Mason","RB","STL",4,118,228,173.125,20.48030049,221,20,NA,48.8,3
"290",290,192,192,"Andre Holmes","WR","OAK",5,122,197,163.2222222,24.84967148,NA,19,0.571619813,62.2,3.9
"291",291,193,193,"Steve Johnson","WR","SF",8,119,223,172.2272727,23.6737903,208,20,0.326350649,67.2,4.2
"292",292,194,194,"Miles Austin","WR","CLE",4,134,200,167.35,19.05852827,199,20,0.475714301,75.7,4.7
"293",293,195,195,"Mike Tolbert","RB","CAR",12,148,200,177.56,14.87838701,NA,20,0.445574643,74.6,4.7
"294",294,196,196,"Dexter McCluster","WR","TEN",9,131,199,175.6521739,19.32920452,202,20,0.481869787,83.3,5.2
"295",294,196,196,"Dexter McCluster","WR","TEN",9,131,199,175.6521739,19.32920452,202,20,0.481869787,83.5,5.2
"296",295,197,197,"John Brown","WR","ARI",4,117,206,168.1764706,29.17943533,NA,20,NA,69.9,4.4
"297",296,198,198,"Brian Quick","WR","STL",4,85,193,161.7857143,28.64107583,NA,19,0.634108687,65.6,4.1
"298",297,199,199,"Mohamed Sanu","WR","CIN",4,138,217,172.6666667,21.55097317,253,20,0.450585364,78.3,4.9
"299",298,200,200,"Coby Fleener","TE","IND",10,155,226,176.7,16.82884429,205,20,0.490573651,69.6,4.3
"300",299,201,201,"Tim Wright","TE","TB",7,130,251,175.1875,28.02280043,209,20,0.414749214,NA,NA
"301",300,202,202,"C.J. Anderson","RB","DEN",4,143,209,179.5238095,16.56622797,226,20,0.076502732,58.7,3.7
"302",301,203,203,"E.J. Manuel","QB","BUF",9,132,210,176.8888889,16.26819968,NA,20,0.277013292,196.4,12.3
"303",302,204,204,"Jacquizz Rodgers","RB","ATL",9,79,222,178.3333333,30.01110905,NA,20,0.436424958,57.7,3.6
"304",303,205,205,"Ryan Fitzpatrick","QB","HOU",10,139,199,177.9411765,15.12485523,NA,20,0.26667241,167.4,10.5
"305",304,206,206,"Jonathan Dwyer","RB","ARI",4,148,197,175,13.72103009,NA,20,0.527189324,38.5,2.4
"306",305,207,207,"Bryce Brown","RB","BUF",9,142,223,178.1875,19.80914798,NA,20,0.665503771,40,2.5
"307",306,208,208,"Arizona Cardinals","DST","ARI",4,144,208,183.7727273,16.10457817,105,20,NA,NA,NA
"308",307,209,209,"Marcedes Lewis","TE","JAC",11,154,239,181.0666667,22.0740169,252,20,0.474011858,71,4.4
"309",308,210,210,"Jermaine Kearse","WR","SEA",4,144,207,175.0833333,19.82615416,NA,20,0.603772565,54.7,3.4
"310",309,211,211,"Kansas City Chiefs","DST","KC",6,136,214,185.6842105,15.39669353,106,20,NA,NA,NA
"311",310,212,212,"Brandon LaFell","WR","NE",10,146,200,172.2,21.04661493,203,20,0.4389331,58.6,3.7
"312",311,213,213,"Shaun Hill","QB","STL",4,147,200,179.7692308,15.05964473,NA,20,0.727707006,183.3,11.5
"313",312,214,214,"Nate Washington","WR","TEN",9,157,240,185.6,17.54536976,NA,20,0.425458555,76,4.8
"314",313,215,215,"Matt Cassel","QB","MIN",10,156,260,182.2727273,26.73129221,NA,20,0.418362024,104.3,6.5
"315",314,216,216,"Robert Turbin","RB","SEA",4,146,249,185.25,29.45653578,NA,20,0.384143001,55.7,3.5
"316",315,217,217,"Bobby Rainey","RB","TB",7,135,245,181.4,27.04514744,NA,20,0.575982906,44.6,2.8
"317",316,218,218,"Lance Moore","WR","PIT",12,135,264,186.4,34.93765877,NA,20,0.409910488,72.5,4.5
"318",317,219,219,"Jace Amaro","TE","NYJ",11,156,198,178.6,13.16966211,251,20,NA,60.9,3.8
"319",318,220,220,"Cleveland Browns","DST","CLE",4,168,201,183.7692308,11.29434063,171,20,NA,NA,NA
